Date,Open,High,Low,Close,Volume,counter,ticker,rel_change
20210210,55.92,55.94,55.61,55.63,1766,1002128,MDLZ,-0.51859799713877
20210210,103.04,103.44,102.38,102.53,919,1002142,ATVI,-0.49495341614906874
20210210,168.66,168.66,166.56,166.79,292,1002143,ADP,-1.1087394758686142
20210210,10.2,10.235,10.14,10.155,2681,1002144,PBR,-0.4411764705882337
20210210,35.94,36.1,35.94,35.98,118,1002145,ENB,0.11129660545352582
20210210,53.61,53.74,53.43,53.72,47,1002148,TFC,0.2051855997015517
20210210,158.66,159.0,158.21,158.87,26,1002158,PNC,0.13235850245809644
20210210,29.305,29.305,29.26,29.26,102,1002162,ABB,-0.15355741341067652
20210210,412.39,427.22,412.37,424.33,161,1002164,TWLO,2.895317539222586
20210210,164.95,165.48,164.74,164.93,49,1002146,CCI,-0.012124886329178963
20210210,60.92,61.06,60.76,60.76,90,1002163,SO,-0.26263952724885353
20210210,204.0,204.53,204.0,204.53,5,1002165,ITW,0.2598039215686354
20210210,261.5,261.65,260.35,261.02,99,1002160,FDX,-0.1835564053537353
20210210,191.12,192.07,186.09,187.9,363,1002149,CME,-1.6848053578903288
20210210,305.49,306.2,303.3,304.22,208,1002159,ADSK,-0.41572555566465885
20210210,55.86,55.86,55.7,55.71,39,1002156,BNS,-0.26852846401718145
20210210,47.8,47.87,47.72,47.81,222,1002153,USB,0.020920502092058868
20210210,89.16,89.29,88.74,89.08,682,1002151,CSX,-0.08972633467922986
20210210,182.61,183.87,180.07,183.41,1973,1002155,MRNA,0.4380921088658729
20210210,164.52,165.36,164.52,165.3,66,1002147,CB,0.4741064916119697
20210210,756.94,757.745,753.95,753.95,62,1002154,EQIX,-0.3950114936454696
20210210,78.95,79.43,78.72,78.91,222,1002152,CL,-0.05066497783408064
20210210,113.77,114.0,112.72,112.89,82,1002157,ICE,-0.7734903753186195
20210210,715.96,716.57,712.07,712.07,21,1002161,SHW,-0.5433264428180373
20210210,93.73,93.74,92.85,92.85,59,1002150,DUK,-0.9388669582844456
20210210,246.97,247.12,246.97,247.12,3,1002166,NSC,0.06073612179617882
20210210,275.71,277.13,275.71,276.27,202,1002167,WDAY,0.203111965470959
20210210,4.99,4.99,4.98,4.985,14,1002168,MUFG,-0.10020040080159776
20210210,450.97,455.2,450.97,455.0,209,1002169,ILMN,0.8936292879792473
20210210,255.13,255.32,252.21,252.75,84,1002170,APD,-0.9328577587896403
20210210,249.33,255.19,249.29,255.19,485,1002171,TEAM,2.350298800786099
20210210,41.66,41.77,41.37,41.5,146,1002172,BAM,-0.3840614498319628
20210210,10.61,10.65,10.61,10.64,21,1002173,LFC,0.2827521206409056
20210210,334.99,337.13,334.54,336.09,44,1002174,SPOT,0.3283680109853915
20210210,147.54,147.98,147.25,147.98,5,1002176,VMW,0.298224210383613
20210210,217.14,217.56,216.54,216.6,13,1002177,ECL,-0.2486874827300367
20210210,38.15,38.22,36.88,37.71,3042,1002178,PLTR,-1.1533420707732556
20210210,17.65,17.69,17.59,17.615,467,1002179,IBN,-0.1983002832861236
20210210,18.22,18.29,18.21,18.26,294,1002180,EQNR,0.2195389681668658
20210210,73.59,73.59,72.665,72.695,221,1002182,D,-1.2161978529691697
20210210,176.31,176.99,175.87,175.87,72,1002183,HCA,-0.24956043332765576
20210210,47.16,47.99,47.14,47.85,624,1002184,COP,1.46310432569976
20210210,79.75,79.91,79.56,79.91,22,1002185,DELL,0.20062695924765173
20210210,204.16,204.695,203.66,204.06,77,1002186,GPN,-0.0489811912225635
20210210,190.66,196.225,190.3,196.01,187,1002187,DASH,2.8060421693066218
20210210,31.75,31.75,31.7,31.71,13,1002188,PTR,-0.12598425196850283
20210210,7.47,7.47,7.43,7.44,50,1002189,BSBR,-0.40160642570280514
20210210,114.4,114.4,113.81,114.15,14,1002190,MMC,-0.21853146853146876
20210210,74.25,74.8,74.12,74.56,156,1002191,DD,0.4175084175084276
20210210,215.98,216.3,214.15,214.26,507,1002192,VRTX,-0.796370034262428
20210210,154.7,154.71,153.5,153.97,414,1002193,ADI,-0.47188106011635256
20210210,17.83,17.84,17.75,17.75,77,1002194,TAK,-0.44868199663488095
20210210,3.49,3.49,3.475,3.475,236,1002195,SAN,-0.42979942693409656
20210210,470.01,478.12,465.25,472.75,1539,1002196,ROKU,0.582966319865541
20210210,39.31,39.5,39.27,39.29,209,1002197,BSX,-0.05087763927754674
20210210,15.52,15.53,15.49,15.51,545,1002198,UBS,-0.06443298969072142
20210210,72.36,72.7,71.93,72.7,23,1002199,SCCO,0.46987285793256284
